Název,Rok,Autor,Lokalita,Technika,Rozměr,Majitel,Provenience,Inv. číslo,Značeno (petrbrandl.eu),Doloženo,Poznámka (archivní tabulka),Obrázek,Zdroj petrbrandl.eu
Studie dětských hlav a rukou podle sádrových odlitků,kolem 1695,Petr Brandl ?,"Praha, Národní galerie v Praze","Kresba uhlem nebo černou křídou, vysvětlovaná bílou křídou na modrošedém papíře",356 × 220 mm,Národní galerie v Praze,Do Národní galerie byla kresba získána z Národního muzea v roce 1949.,K 21806,Dodatečně dole uprostřed perem hnědým tónem: Peter Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzMzMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=177
Studie tří dětských a tří dívčích hlav,kolem 1695,Petr Brandl,"Praha, Národní galerie v Praze","Kresba uhlem nebo černou křídou, vysvětlovaná bílou křídou na modrošedém papíře",373 × 223 mm,Národní galerie v Praze,Kresba byla v roce 1949 převedena z Národního muzea do Národní galerie v Praze.,K 23608,Dodatečně dole uprostřed perem hnědým tónem: Peter Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODM3NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=178
Studie sedící ženské postavy,po 1700,Petr Brandl,"Praha, Národní galerie v Praze",Kresba červenou rudkou vysvětlovaná bílou křídou na modrošedém papíře,275 × 187 mm,Národní galerie v Praze,"Kresbu vlastnil malíř Josef Mánes, z jeho pozůstalosti ji získal Vojtěch Lanna a kresbu daroval roku 1888 Obrazárně Společnosti vlasteneckých přátel umění.",K 1028,Dodatečně dole uprostřed perem hnědým tónem: Petr Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODMxOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=179
Studie tří andílčích hlav,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Kresba uhlem nebo černou křídou, vysvětlovaná bílou křídou na modrošedém papíře",160 × 295 mm,Národní galerie v Praze,Kresba byla získána v roce 1927 do Obrazárny Společnosti vlasteneckých přátel umění (pozdější Národní galerie v Praze).,K 4515,Vpravo dodatečně perem hnědým tónem obvyklým rukopisem: Peter Brandel,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODM1NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=180
Náčrt k podobizně muže,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Kresba uhlem nebo černou křídou, vysvětlovaná bílou křídou na modrošedém papíře",313 × 186 mm,Národní galerie v Praze,"Kresbu vlastnil malíř Josef Mánes, z jeho pozůstalosti ji získal Vojtěch Lanna a kresbu daroval roku 1886 Obrazárně Společnosti vlasteneckých přátel umění.",K 361,Dodatečně perem hnědým tónem vpravo dole: Peter Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODEyOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=181
Studie k podobizně muže,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Kresba černou křídou /uhlem/, vysvětlovaná bílou křídou na modrošedém papíře",330 × 205 mm,Národní galerie v Praze,"Kresbu vlastnil malíř Josef Mánes, z jeho pozůstalosti ji získal Vojtěch Lanna a kresbu daroval roku 1886 Obrazárně Společnosti vlasteneckých přátel umění.",K 23606,Dodatečně vpravo dole perem hnědým tónem: Petr Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODIxNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=182
Studie (skica) rukou,kolem 1710,Petr Brandl - asi,"Praha, Národní galerie v Praze","Kresba černou křídou /uhlem/, vysvětlovaná bílou křídou na modrošedém papíře",133 × 178 mm,Národní galerie v Praze,"Kresbu vlastnil malíř Josef Mánes, z jeho pozůstalosti ji získal Vojtěch Lanna a kresbu daroval roku 1888 Obrazárně Společnosti vlasteneckých přátel umění.",K 1127,Dodatečně vpravo dole perem hnědým tónem: Petr Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzgxNWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=183
Studie rukou se šátkem,po 1710,Petr Brandl,"Praha, Národní galerie v Praze","Kresba černou křídou /uhlem/, vysvětlovaná bílou křídou na modrošedém papíře",330 × 206 mm,Národní galerie v Praze,Kresba byla v roce 1949 převedena z Národního muzea do Národní galerie v Praze.,K 23607,Dodatečně dole uprostřed perem hnědým tónem: Peter Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODI5NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=184
Sv. Petr Tomáš z řádu karmelitánů před sochou Madony,kolem 1710,Petr Brandl,"Praha, Národní galerie v Praze","Kresba perem sépií, tuší lavírovaná na žlutavém papíře",225 × 150 mm,Národní galerie v Praze,Do Národní galerie v Praze zakoupeno v roce 1955.,K 30849,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODQ2OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=185
Klanění pastýřů,asi 1713,Petr Brandl,"Praha, Národní galerie v Praze","Kresba perem, šedě lavírovaná na nažloutlém papíře",177 × 132 mm,Národní galerie v Praze,Kresba byla do Národní galerie převedena v roce 1949 z Národního muzea.,K 23604,Značeno dodatečně vpravo dole perem (Ferdinand) (škrtnuto) Brandl delineavit,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzk5NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=186
Anděl s kalichem,kolem 1720,Petr Brandl - připsáno,"Praha, Národní galerie v Praze","Kresba grafitem a perem, hnědě lavírovaná na nahnědlém papíře",130 × 109 mm,Národní galerie v Praze,Kresba byla zakoupena v roce 1940 od dr. E. Šafaříka.,K 7105,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzY3NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=187
Klečící světec,1721,Petr Brandl,"Praha, Národní galerie v Praze","Kresba černou křídou a štětcem tmavou olejovou barvou, vysvětlovaná štětcem krycí bělobou na hnědém papíře",224 × 185 mm,Národní galerie v Praze,Do Národní galerie v Praze získáno v roce 1927.,K 4514,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODA0OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=188
Studie k podobizně muže v alonžové paruce,po 1720,Petr Brandl ?,"Praha, Národní galerie v Praze","Recto: kresba černou křídou /uhlem/, vysvětlovaná bělobou na modrošedém papíře, verso: kresba černou křídou",295 × 180 mm,Národní galerie v Praze,"Kresbu vlastnil Josef Mánes, z jeho pozůstalosti ji získal Vojtěch Lanna a kresbu daroval roku 1886 Obrazárně Společnosti vlasteneckých přátel umění.",K 360,Vpravo dole Lannovou rukou: Aus Joseph Manes’ Nachlasse. A. Lanna,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzIyMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=189
Sen proroka Eliáše,kolem 1730,Petr Brandl – okruh,"Praha, Národní galerie v Praze","Kresba perem, hnědě lavírovaná na zahnědlém papíře",180 × 135 mm,Národní galerie v Praze,Kresba byla v roce 1949 převedena z Národního muzea do Národní galerie v Praze.,K 27923,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzU5MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=190
Sen proroka Eliáše,asi 1724,Petr Brandl?,"Praha, Národní galerie v Praze","Recto: kresba grafitem a štětcem, modrošedě lavírovaná na nažloutlém papíře, verso: skica ležícího proroka a pauza letícího anděla, kresba grafitem a černou křídou",359 × 443 mm,Národní galerie v Praze,"Kresba bývala ve sbírce malířky Zdenky Braunerové, později v majetku Sdružení českých umělců grafiků Hollar, odkud byla v roce 1950 zakoupena do Národní galerie v Praze.",K 18622,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzQwNGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=191
Studie rukou,1724,Petr Brandl,"Praha, Národní galerie v Praze","Kresba uhlem nebo černou křídou, vysvětlovaná bílou křídou na modrošedém papíře",308 × 179 mm,Národní galerie v Praze,"Kresbu vlastnil Josef Mánes, z jeho pozůstalosti ji získal Vojtěch Lanna a kresbu daroval roku 1886 Obrazárně Společnosti vlasteneckých přátel umění.",K 362,Dodatečně dole uprostřed perem hnědým tónem: Peter Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODI0OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=192
Ukřižování s Máří Magdalénou,před 1725,Petr Brandl,"Praha, Národní galerie v Praze","Kresba černou křídou /uhlem/, vysvětlovaná bílou křídou na modrošedém papíře",328 × 187 mm,Národní galerie v Praze,"Kresbu vlastnil malíř Josef Mánes, z jeho pozůstalosti ji získal Vojtěch Lanna a kresbu daroval roku 1886 Obrazárně Společnosti vlasteneckých přátel umění.",K 1126,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzg4N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=193
Loučení sv. Petra a Pavla,kolem 1730,Petr Brandl - okruh,"Praha, Národní galerie v Praze","Kresba černou křídou, vysvětlovaná bílou křídou a žlutavým tónem na modrošedém papíře",180 × 227 mm,Národní galerie v Praze,Do Národní galerie byla kresba zakoupena v roce 1949.,K 13690,Dodatečně dole uprostřed hnědým tónem: Peter Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwNzc0OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=194
Sv. Václav s korouhví,kolem 1730,Petr Brandl?,"Praha, Národní galerie v Praze","Kresba černou křídou /uhlem/, vysvětlovaná bílou křídou, dodatečně hrubě obtažená perem",199 × 147 mm,Národní galerie v Praze,Kresba byla v roce 1949 převedena z Národního muzea do Národní galerie v Praze.,K 23602,Dodatečně vpravo dole perem hnědým tónem: Petr Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODUyMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=195
Sv. Barbora v oblacích,kolem 1730,Petr Brandl?,"Praha, Národní galerie v Praze","Kresba uhlem nebo černou křídou, vysvětlovaná bílou křídou a nažloutlým tónem na modrošedém papíře",285 × 197 mm,Národní galerie v Praze,Kresba byla v roce 1949 převedena z Národního muzea do Národní galerie v Praze.,K 23609,Dodatečně vpravo dole červenou rudkou: Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODQwN2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=196
Sv. Roch,kolem 1730,Petr Brandl?,"Praha, Národní galerie v Praze","Kresba uhlem nebo černou křídou, vysvětlovaná bílou křídou a dodatečně hrubě obtažená perem na modrošedém papíře",271 × 195 mm,Národní galerie v Praze,Kresba byla v roce 1949 převedena z Národního muzea do Národní galerie v Praze.,K 23610,Dodatečně vpravo dole červenou rudkou: Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODQ5NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=197
Sv. Jan Nepomucký před staroboleslavským Palladiem,před 1730,Petr Brandl - okruh,"Praha, Národní galerie v Praze","Kresba uhlem nebo černou křídou, vysvětlovaná bílou křídou, dodatečně obtažená perem",316 × 203 mm,Národní galerie v Praze,Kresba byla v roce 1949 převedena z Národního muzea do Národní galerie v Praze.,K 23603,Dodatečně vpravo dole perem hnědým tónem: Petter Brandl,archivně doloženo,"Umístění dle archivní tabulky: Nezvěstné, původně v kostele sv. Bartoloměje v Kutné Hoře, pak v klášteře voršilek tamtéž | č.k. V-44 | Datování dle archivní tabulky: 1734",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4ODIwODQzMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=198
Portrét Petra Brandla podle kresby Jana Tomáše Kleinhardta,1773,Jan Jiří Balzer (Paltzer),"Praha, Národní galerie v Praze","Mědiryt, papír",167 × 103 cm,Národní galerie v Praze,,R 133911/32,"Vpravo dole: J. Balzer fc. Pragae, pod portrétem označení: PETRVS BRANDEL",,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMDM2NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=199
Klanění pastýřů,po 1713,Jan Jiří Balzer (Paltzer) podle Petra Brandla,"Praha, Národní galerie v Praze","akvatinta, papír",197 × 155 cm,Národní galerie v Praze,,R 6554,Vlevo pod rámečkem: Peter Brandel del,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMDQwNmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=200
Podobizna Leopolda hraběte Šlika,1716,"Antonín Birckhardt (Birckhart, Birckart aj.) podle Petra Brandla","Praha, Národní galerie v Praze","Mědiryt, papír",272 × 162 mm,Národní galerie v Praze,,R 37123,"Vpravo dole: Birckart sc. Prag, na svitcích deviza eX gLaDIo CaLaMVs, eX CaLaMo gLaDIVs, která obsahuje chronogram 1716",,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTQ5OTkxMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=201
Podobizna Františka Josefa Hraběte Černína z Chudenic,1719,"Antonín Birckhardt (Birckhart, Birckart aj.) podle Petra Brandla","Praha, Národní galerie v Praze","Mědiryt, papír",137 × 85 mm,Národní galerie v Praze,,R 39138,"Na soklu: Prandl Pinxit. Birckart sculp. Prag, dole nápis: Illustrissimus D[ominus], D[ominus] FRANCISCUS IOSEPHUS S[acri] R[omani] I[mperii] Comes CZERNIN de CHUDENITZ, / Hereditarius D[omi]nus in Chudenitz et Nova Domo etc. / Sac[rae] Caes[areae] Regiaeque Majestatis Camerarius Actualis / Majoris Iudicij Provincialis Assessor, et Heredi / tarius in regno Bohemiae Pincernae",,Umístění dle archivní tabulky: Nezvěstná | Datování dle archivní tabulky: Asi 1719,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTQ5OTc4OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=202
Podobizna papeže Benedikta XIII.,1724,"Antonín Birckhardt (Birckhart, Birckart aj.) podle Petra Brandla","Praha, Národní galerie v Praze","Mědiryt, papír",112 × 75 mm,Národní galerie v Praze,,R 37100,"Dole na soklu: Prandl del: Birckart fc. Prag, nahoře nápis: BENEDICTUS XIII URSINUS ROMANUS / PONTIFEX MAXIMUS, Creatus Die 29. Maij 1724",,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTQ5OTk0MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=203
Podobizna Jana Josefa hraběte z Valdštejna (1684–1731),po 1720,"Antonín Birckhardt (Birckhart, Birckart aj.) podle Petra Brandla","Praha, Národní galerie v Praze","Mědiryt, papír",170 × 123 mm,Národní galerie v Praze,,R 37096,"Vlevo dole: Prandl del:, vpravo dole: Birckart sc: Prag. Na soklu nápis: Illustrissim[us]: et / Excellenti[ssimus] D[ominus] / JOANNES JOSEPHUS / S[acri] R[omani] I[mperii] Comes de WALDSTEIN, / Sac[rae] Caes[areae] Reg[iaeque] Cath[olicae] Majest[atis] Int[imus] Act[ualis] Cons[iliarius] / Camer[ae] Reg[iae] Locum [tenentium] Haered [itarius] Regiar[um] Depi[fatorum] Praecesor, nec / n[on] Suprem[us] in Regn[o] Bohem[iae] MARESCHALLUS, na nápisovém svitku deviza: PRO DEO, REGE, ET REGNO",,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTQ5OTgyOWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=204
Podobizna Jana Rudolfa Wolbrama Brandlinského,kolem 1720,"Antonín Birckhardt (Birckhart, Birckart aj.) podle Petra Brandla","Praha, Národní galerie v Praze","Mědiryt, papír",250 × 164 mm,Národní galerie v Praze,,R 37122,"Pod oválem vlevo: Prandl pinxit, vpravo: Birckhart sculpsit, na soklu nápis: Joannes Rudolphus Wolbram Brandlinsky L[iber] B[aro] de Stiekrže, Dominus in Popowitz / Sac[rae] Caes[arae] Reg[iaeque] M[ajestatis] / Actualis Camerarius / Judiciorum Cameratici et Feudalis Aßeßor, / atque Inclytae Regiae Camerae in Regno Böemiae Consiliarius",,Umístění dle archivní tabulky: Nezvěstná | Datování dle archivní tabulky: Kolem 1720,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTQ5OTg2OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=205
Podobizna chirurga Ferdinanda Schobera,kolem 1710,"Antonín Birckhardt (Birckhart, Birckart aj.) podle Petra Brandla","Praha, Národní galerie v Praze","Mědiryt, papír",160 × 95 mm,Národní galerie v Praze,,R 39142,"Na oválném rámu vlevo: Prandl pinxit, vpravo: Bircart sc, na soklu nápis: FERDINANDUS SCHOBER / de Hohenfurt / Senior Chyrurgus Min[oris] Urb[is] Pragenae. / Modeste et Vere",,Umístění dle archivní tabulky: Zničena (známo z rytiny) | č.k. V-31 | Datování dle archivní tabulky: Kolem/po 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTQ5OTY5MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=206
