handy_id,Title,Author,ISBN
337,"You Can Take the Girl Out of Britain, But You Can't Take Britain Out of the Girl","Molloy, Jo",
338,Collins Easy Learning English Conversation Book 1.,,9780007374724
339,Collins Easy Learning English Conversation: Book 2 [With CD (Audio)],,9780007374731
340,Longman Dictionary of Contemporary English,"Editors, Longman",9780582842236
341,Longman Dictionary of English Idioms,"Longman, Addison Wesley",9780582058637
342,Oxford Phrasal Verbs Dictionary for Learners of English,"Parkinson, Dilys",9780194315432
343,"Mastering French: Hear It, Speak It, Write It, Read It","Cossard, Monique",9780764123856
344,"Mastering French, Level 2 (Barron's Foreign Language Guides)","Institute, Foreign Service Language",9780812013580
345,Obchodní francouzština - Français commercial,,9788026603641
346,Mluvnice francouzštiny,"Taišlová, Jitka",9788073350048
347,Noville Grammaire Du Francais: Cours De Civilisation Francaise De La Sorbonne (French Edition),"Delatour, Yvonne",9782011552716
348,Les 500 Exercices de Grammaire - Livre + corrigés intégrés (B2),"Jennepin, Dominique",9782011554383
349,Cvičebnice francouzské gramatiky,"Zettlová, Markéta",9788090198883
350,French Advanced Part A Units 13-18,"Cossard, Monique",9780884329015
351,"French: Advanced, Part B Units 19-24 (French Edition)","Cossard, Monique",9780884329022
352,Reussir Le Dalf: Niveaux C1 et C2 (2 CD audio inclus),"Mègre, Bruno",9782278061013
353,"French in Action: A Beginning Course in Language and Culture - Workbook, Part 1","Capretz, Pierre J.",9780300058222
354,"French in Action : A Beginning Course in Language and Culture, the Capretz Method: Part One","Capretz, Pierre J.",9780300072655
355,"French in Action : A Beginning Course in Language and Culture, the Capretz Method: Part 2","Capretz, Pierre J.",9780300072679
356,Survival Czech,"Váchalová, Soňa",
357,"Survival Czech - Grammar Appendix, Wordlist, Key","Váchalová, Soňa",
358,Teach Yourself Czech: A Complete Course for Beginners(Teach Yourself),"Jenkins, Michael",9780844237589
359,How To Learn Any Language,"Farber, Barry",9780806512716
360,The Quick and Dirty Guide to Learning Languages Fast,"Hawke, A.G.",9781581600964
361,Němčina - 500 vět k překladu,"Eva, Podhajská",9788027106660
362,AUF NEUEN WEGEN.Lehrbuch (L.Alum.),"Willkop, Eva-Maria",9783190016402
363,Sprachen lernen. Der Schlüssel zur richtigen Technik.,"Kleinschroth, Robert",9783499608421
364,Langenscheidts Grosswoerterbuch Deutsch als Fremdsprache (German Edition),"Götz, Dieter",9783468967054
365,Deutsche Grammatik/German (German Edition),"Helbig, Gerhard",
366,Die neue Rechtschreibung. Alle Regeln zum Lernen und Nachschlagen.,"Stang, Christian",9783468299308
367,Němčina - Přehledná gramatika,,9788085836325
368,Adel und edle Steine (Nivel 1),", Felix",9783468496851
369,Ein Fall auf Rügen con CD audio (Lecturas monolingües) (German Edition),", Felix",9783468497261
370,Felix Und Theo - Level 2: Ebbe & Flut (German Edition) by Felix (1999-01-25),", Felix",9783468497025
371,Ein Mann zu viel (Nivel 1) (Easy Reader Series Level 1) (German Edition),", Felix",9783468496820
372,Praktická mluvnice němčiny,,
373,Jak se to řekne německy,"Schönová, Ludmila",
374,Map of Czech Grammar,,
375,Cvičebnice ruské gramatiky,"Mistrová, Veronika",9788086195292
376,4000 nejužívanějších slov ruského jazyka,,
377,Rusko-český česko-ruský slovník,"Šroufková, Miloslava",
378,Ruská konverzace,"Horvátová, Marie",8086119823
379,Ruština pro pokročilé,"Barnet, Vladimír",9788073350130
380,Basic Japanese Conversation Dictionary,"Martin, Samuel E.",080480057X
381,Ruština - přehledná gramatika,,9788085836714
382,Francouzština - přehledná gramatika,,9788085836677
383,Přehled latinské mluvnice - pomůcka při výuce latiny,"Bilíková, Eva",8594042250124
384,Portugalština - souhrn gramatiky,,9788074260087
385,Česko-italský a italsko-český slovník na cestY,"Benešová, Hana",
386,Česko-finský a finsko-český slovník na cesty,,
387,Česko-německá konverzace,,
388,Česko-španělská konverzace,,
389,Španělština čeština - praktický slovník s novými výrazy,,
390,Francouzsko-český česko-francouzský kapesní slovník,,
391,Německo-český česko-německý kapesní slovník,,
392,Anglicko-český česko-anglický kapesní slovník,,
393,Latinsko-český slovník k potřebě gymnasií a reálných gymnasií,"Pražák, Josef M.",
394,Školy dějin umění,"Kroupa, Jiří",97880210424760
395,Kleine Geschichte der Kunsttheorie,"Kultermann, Udo",3534021436
396,Leonardo da Vinci aneb Vědy o malířství - Gesto v umění,"Chastel, André",9788073640507
397,Die Schlange im Wolfspelz: Das Geheimnis großer Literatur,"Maar, Michael",9783499009204
398,Dějiny umění 9,"Pijoan, José",8020700986
401,Dějiny umění 6,"Pijoan, José",
402,Dějiny umění 10,"Pijoan, José",
403,Dějiny umění 5,"Pijoan, José",
404,Dějiny umění 4,"Pijoan, José",8071769568
405,Dějiny umění 3,"Pijoan, José",
406,Dějiny umění 2,"Pijoan, José",
407,Dějiny umění 1,"Pijoan, José",
408,Dějiny umění 8,"Pijoan, José",
409,Dějiny umění 7,"Pijoan, José",
410,Umění středověku,"Huyghe, René",
411,Umění pravěku a starověku,"Huyghe, René",
412,Umění renesance a baroku,"Huyghe, René",
413,Barok a rokoko,"Kitson, Michael",
414,Umění 19. a 20. století,"Lynton, Norbert",
415,Románské a gotické umění,"Kidson, Peter",
416,Raně křesťanské a byzantské umění,"Lassus, Jean",
417,Antické umění,"Strong, Donald E.",
418,"Art: A History of Painting, Sculpture, Architecture","Hartt, Frederick",0130487031
419,Encyklopedie světového malířství,"Mráz, Bohumír",
420,Pozdně gotické umění v Čechách /1471 - 1526/,"Homolka, Jaromír",
421,Dějiny českého výtvarného umění: Od počátků renesance do závěru baroka,,
422,Dějiny českého výtvarného umění: Od počátků renesance do závěru baroka,,
423,Dějiny českého výtvarného umění: Od počátků do konce středověku,,
